date,open,high,low,close,volume,SMA20,SMA100,EMA20,Savgol,NoiseSavgol,
1.6585344E12,0.06743,0.0695,0.06594,0.06804,5.74830361E8,,,,,,
1.6586208E12,0.06802,0.06893,0.06721,0.06755,4.22181889E8,,,,,,
1.6587072E12,0.06755,0.06799,0.06175,0.06193,6.99294463E8,,,,,,
1.6587936E12,0.06194,0.06267,0.06011,0.06252,5.98070119E8,,,,,,
1.65888E12,0.06253,0.06722,0.06178,0.06721,7.22135201E8,,,,,,
1.6589664E12,0.06722,0.07089,0.06518,0.06909,9.47954323E8,,,,,,
1.6590528E12,0.06912,0.07244,0.06723,0.06877,1.006131726E9,,,,,,
1.6591392E12,0.06879,0.07454,0.06788,0.06965,1.305533142E9,,,,,,
1.6592256E12,0.06966,0.07225,0.06771,0.06807,7.89967033E8,,,,,,
1.659312E12,0.06809,0.07128,0.06682,0.06845,7.70509779E8,,,,,,
1.6593984E12,0.06845,0.06913,0.06546,0.06652,5.71786789E8,,,,,,
1.6594848E12,0.06652,0.06842,0.06509,0.06621,4.75501306E8,,,,,,
1.6595712E12,0.06621,0.06767,0.06574,0.06725,4.17953599E8,,,,,,
1.6596576E12,0.06725,0.07028,0.06717,0.06981,6.55343802E8,,,,,,
1.659744E12,0.06981,0.07133,0.0684,0.06863,5.15275101E8,,,,,,
1.6598304E12,0.06863,0.07,0.06735,0.06897,3.34443472E8,,,,,,
1.6599168E12,0.06896,0.07258,0.06881,0.07011,7.91973876E8,,,,,,
1.6600032E12,0.07009,0.075,0.06743,0.06904,1.319171735E9,,,,,,
1.6600896E12,0.06902,0.07147,0.06649,0.07126,8.64532997E8,,,,,,
1.660176E12,0.07126,0.0755,0.07042,0.07084,1.244652711E9,,,,,,
1.6602624E12,0.07085,0.07275,0.06966,0.0723,5.58720656E8,0.067996,,,,,
1.6603488E12,0.07232,0.07517,0.0718,0.07293,8.14196356E8,0.068209,,,,,
1.6604352E12,0.07292,0.08494,0.07262,0.08168,3.169284659E9,0.06847800000000001,,,,,
1.6605216E12,0.08168,0.08203,0.07467,0.07662,1.760099314E9,0.0694655,,,,,
1.660608E12,0.07663,0.08962,0.07615,0.08677,4.011386761E9,0.0701705,,,,,
1.6606944E12,0.08677,0.08897,0.07933,0.08021,2.056226341E9,0.07114849999999999,,,,,
1.6607808E12,0.08021,0.08229,0.07347,0.07474,1.299546363E9,0.07170449999999999,,,,,
1.6608672E12,0.07474,0.07529,0.06702,0.06776,2.379477045E9,0.07200300000000001,,,,,
1.6609536E12,0.06777,0.07118,0.06764,0.06933,1.2588946E9,0.0719085,,,,,
1.66104E12,0.06934,0.0708,0.06739,0.06932,1.013563879E9,0.0719715,,,,,
1.6611264E12,0.06933,0.06942,0.06518,0.0684,8.84457833E8,0.072015,,,,,
1.6612128E12,0.06841,0.06923,0.06687,0.06884,4.98322188E8,0.07210899999999999,,,,,
1.6612992E12,0.06884,0.06967,0.06703,0.06791,5.36623127E8,0.07224050000000001,,,,,
1.6613856E12,0.06791,0.07185,0.06761,0.06898,9.04268436E8,0.07227350000000002,,,,,
1.661472E12,0.06898,0.06957,0.06273,0.06351,1.220146376E9,0.07223199999999999,,,,,
1.6615584E12,0.06351,0.06412,0.06225,0.06351,7.13605775E8,0.07197600000000001,,,,,
1.6616448E12,0.06353,0.06432,0.06129,0.06178,5.33481708E8,0.071703,,,,,
1.6617312E12,0.06177,0.06409,0.06088,0.06384,5.99200371E8,0.0712865,,,,,
1.6618176E12,0.06383,0.06448,0.06007,0.06154,6.11034766E8,0.07102649999999999,,,,,
1.661904E12,0.06155,0.06346,0.06072,0.06135,5.50957335E8,0.07054049999999999,,,,,
1.6619904E12,0.06134,0.06263,0.05988,0.06239,5.6702074E8,0.07006599999999999,,,,,
1.6620768E12,0.06238,0.06288,0.06068,0.06165,4.36731244E8,0.0695705,,,,,
1.6621632E12,0.06164,0.06403,0.06112,0.06271,5.06474868E8,0.0690065,,,,,
1.6622496E12,0.06272,0.06391,0.06187,0.06323,4.26054692E8,0.06805799999999998,,,,,
1.662336E12,0.06323,0.06374,0.06092,0.06275,3.94413001E8,0.06738849999999999,,,,,
1.6624224E12,0.06275,0.06531,0.058,0.05889,1.030694821E9,0.0661875,,,,,
1.6625088E12,0.05888,0.06155,0.05737,0.06097,5.72781904E8,0.06512150000000001,,,,,
1.6625952E12,0.06098,0.06142,0.05965,0.06096,4.74879318E8,0.06443299999999999,,,,,
1.6626816E12,0.06099,0.06489,0.0609,0.06385,1.042646377E9,0.064093,,,,,
1.662768E12,0.06386,0.06557,0.06315,0.06466,8.60544762E8,0.063819,,,,,
1.6628544E12,0.06467,0.06531,0.06261,0.06369,7.12921351E8,0.06358599999999999,,,0.06185690249122497,,
1.6629408E12,0.06369,0.06545,0.06261,0.06393,6.76230761E8,0.0633505,,,0.06189364101642227,0.0018330975087750279,
1.6630272E12,0.06395,0.06419,0.05921,0.05964,1.028728701E9,0.063105,,,0.062026713922822864,0.002036358983577728,
1.6631136E12,0.05965,0.0615,0.05914,0.06115,6.89192149E8,0.0626915,,,0.06233026297311342,-0.0023867139228228654,
